#,show_id,type,title,country,release_year,date_added,director,cast,rating,listed_in,description,duration,duration_hours
2522,s2523,TV Show,Inhuman Resources,France,2020,2020-05-15 00:00:00,Ziad Doueiri,"Eric Cantona, Suzanne Clément, Alex Lutz, Gustave Kervern, Alice de Lencquesaing, Louise Coldefy, Nicolas Martinez, Adama Niane",TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","Alain Delambre, unemployed and 57, is lured by an attractive job opening. But things get ugly when he realizes he’s a pawn in a cruel corporate game.",1 Season,1 Season
2523,s2524,TV Show,Madam Secretary,United States,2019,2020-05-15 00:00:00,,"Téa Leoni, Tim Daly, Bebe Neuwirth, Zeljko Ivanek, Erich Bergen, Patina Miller, Geoffrey Arend, Kathrine Herzer, Evan Roe, Wallis Currie-Wood",TV-PG,TV Dramas,"When a highly capable woman becomes secretary of state, she struggles to find balance between the demands of world politics and those of her family.",6 Seasons,6 Seasons
2524,s2525,TV Show,Magic for Humans,United States,2020,2020-05-15 00:00:00,,Justin Willman,TV-14,"Reality TV, TV Comedies","From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs.",3 Seasons,3 Seasons
2525,s2526,TV Show,Parasyte: The Maxim,Japan,2014,2020-05-15 00:00:00,,"Nobunaga Shimazaki, Aya Hirano, Kana Hanazawa, Kiyono Yasuno, Rena Maeda, Miyuki Sawashiro, Hiroyuki Yoshino, Atsuko Tanaka",TV-MA,"Anime Series, International TV Shows, TV Horror","A teenager battles an onslaught of parasites from space with help from Migi, a docile parasitic creature that's taken over his right hand.",1 Season,1 Season
2526,s2527,TV Show,She-Ra and the Princesses of Power,United States,2020,2020-05-15 00:00:00,,"Aimee Carrero, AJ Michalka, Marcus Scribner, Karen Fukuhara, Reshma Shetty, Lorraine Toussaint, Keston John, Lauren Ash, Christine Woods, Morla Gorrondona, Antony Del Rio, Dana Davis, Grey Griffin, Genesis Rodriguez, Jordan Fisher, Vella Lovell, Merit Leighton, Sandra Oh, Krystal Joy Brown",TV-Y7,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","Soldier Adora finds a magic sword – and her identity as legendary hero She-Ra. She joins the Rebellion, but her best friend stays with the evil Horde.",5 Seasons,5 Seasons
2527,s2528,TV Show,Sleepless Society: Two Pillows & A Lost Soul,Thailand,2020,2020-05-15 00:00:00,Sivaroj Kongsakul,"Numthip Jongrachatawiboon, Vorarit Fuangarom, Bhumibhat Thavornsiri, Thanongsak Suphakan, Kanjanaporn Plodpai, Tosatid Darnkhuntod, Boonsong Nakphoo, Arachaporn Pokinpakorn, Annita Sarucha, Chidsanupong Sakulnuntipat, Nisawan Silpapearsue, Porntip Tipsiri, Thana Srisuke",TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",A motivational speaker about to divorce her abusive husband wakes up from a wild party one morning to find a dead body.,1 Season,1 Season
2528,s2529,TV Show,Strangers from Hell,South Korea,2019,2020-05-15 00:00:00,,"Lee Dong-wook, Im Si-wan, Lee Jung-eun, Lee Hyun-wook, Park Jong-hwan, Lee Joong-ok, Ahn Eun-jin",TV-MA,"International TV Shows, Korean TV Shows, TV Horror",Unpleasant events disturb the life of an aspiring crime fiction writer when he becomes a resident of an apartment building teeming with shady neighbors.,1 Season,1 Season
2529,s2530,TV Show,The Wiggles,Australia,2015,2020-05-15 00:00:00,,"Anthony Field, Lachlan Gillespie, Simon Pryce, Emma Watkins, Paul Paddick",TV-Y,Kids' TV,"The top band for preschool kids, The Wiggles, entertains tots with spirited music, simple choreography and whimsical adventures.",2 Seasons,2 Seasons
2530,s2531,TV Show,White Lines,"United Kingdom, Spain",2020,2020-05-15 00:00:00,,"Laura Haddock, Nuno Lopes, Marta Milans, Laurence Fox, Daniel Mays, Angela Griffin, Juan Diego Botto, Pedro Casablanc, Belén López, Barry Ward, Tom Rhys Harries",TV-MA,"British TV Shows, Crime TV Shows, International TV Shows","Zoe Walker leaves her quiet life behind to investigate her brother's disappearance in Ibiza, where she quickly heads down a decadent and dangerous path.",1 Season,1 Season
2531,s2532,Movie,Dilan 1990,Indonesia,2018,2020-05-14 00:00:00,"Fajar Bustomi, Pidi Baiq","Vanesha Prescilla, Iqbaal Ramadhan, Debo Andryos, Giulio Parengkuan, Omara Esteghlal, Yoriko Angeline, Zulfa Maharani, Brandon Salim",TV-14,"Dramas, International Movies, Romantic Movies","At a Bandung high school, charming and rebellious Dilan vies for the affections of shy new student Milea.",109 min,1 hr 49 min
2532,s2533,Movie,Dilan 1991,Indonesia,2019,2020-05-14 00:00:00,"Fajar Bustomi, Pidi Baiq","Iqbaal Ramadhan, Vanesha Prescilla, Ira Wibowo, Bucek Depp, Happy Salma, Farhan, Maudy Koesnaedi, Jerome Kurnia",TV-14,"Dramas, International Movies, Romantic Movies","Dilan's involvement in the motorbike gang imperils his relationship with Milea, whose distant relative returns from Belgium.",118 min,1 hr 58 min
2533,s2534,Movie,Fan of Amoory,United Arab Emirates,2018,2020-05-14 00:00:00,Salmeen AlMurry Amer,"AlMulla AbdulRahman, Mansour Al Felei, Abdullah Bin Heider, Alhamadi Hamad, Alzaabi Matar, AlBloushi Mayed, Althogali Saif, Alaa Shakir",TV-G,"Children & Family Movies, Dramas, International Movies","Inspired by his idol Omar Abdulrahman, a young boy navigates obstacles as he chases his dream of becoming a professional soccer player.",109 min,1 hr 49 min
2534,s2535,Movie,Malang,India,2020,2020-05-14 00:00:00,Mohit Suri,"Anil Kapoor, Aditya Roy Kapur, Disha Patani, Kunal Khemu, Makrand Deshpande, Vatsal Seth, Amruta Khanvilkar, Shaad Randhawa",TV-MA,"Action & Adventure, International Movies, Romantic Movies","Years after a police encounter separates him from his lover, an angry young man goes on a killing spree, with an equally vengeful cop on his heels.",131 min,2 hr 11 min
2535,s2536,Movie,Match,,2017,2020-05-14 00:00:00,Obaid Alhmoudi,"Mahmood Bin Shamsan, Waleed Alyasi, Sawsan Saad",TV-14,"Dramas, International Movies","After living with a criminal father, two brothers on different paths head for a direct collision when an intriguing woman enters both of their lives.",91 min,1 hr 31 min
2536,s2537,Movie,Rencor tatuado,Mexico,2018,2020-05-14 00:00:00,Julián Hernández,"Diana Lein, Irving Peña, César Romero, César Ramos, Giovanna Zacarías, Mónica Del Carmen, Rocío Verdejo, Itatí Cantoral",TV-MA,"Dramas, Independent Movies, International Movies","Armed with a thirst for revenge, a vigilante makes justice her business after being hired by various women to seduce and humiliate their rapists.",152 min,2 hr 32 min
2537,s2538,Movie,The Delivery Boy,Nigeria,2018,2020-05-14 00:00:00,Adekunle Nodash Adejuyigbe,"Jamal Ibrahim, Jemima Osunde, Charles Etubiebi, Jude Chukwuka, Chris Iheuwa, Kehinde Fasuyi",TV-14,"International Movies, Thrillers",A teen criminal and a young sex worker forge an unlikely alliance during a night that forces them to confront painful pasts and crises of conscience.,67 min,1 hr 7 min
2538,s2539,Movie,Wedy Atkalam,Kuwait,2018,2020-05-14 00:00:00,Sadeq Behbehani,"Abdulmohsen Al-Qaffas, Jamal Alradhan, Jassim Al Nabhan, Layla Abdullah, Khaled Al-Buraiki",TV-PG,"Comedies, Dramas, International Movies","A socially conscious film director struggles with his career as he faces numerous obstacles, including his social media-friendly significant other.",72 min,1 hr 12 min
2539,s2540,Movie,Fire in the Blood,India,2012,2020-05-13 00:00:00,Dylan Mohan Gray,William Hurt,TV-14,"Documentaries, International Movies",Dylan Mohan Gray examines Africa's AIDS crisis and activists' battle with pharmaceutical companies to make life-saving HIV drugs more affordable.,83 min,1 hr 23 min
2540,s2541,Movie,The Wrong Missy,United States,2020,2020-05-13 00:00:00,Tyler Spindel,"David Spade, Lauren Lapkus, Nick Swardson, Geoff Pierson, Jackie Sandler, Sarah Chalke, Rob Schneider, Chris Witaske, Joe Anoa'i, Molly Sims",TV-MA,"Comedies, Romantic Movies","Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date.",90 min,1 hr 30 min
2541,s2542,Movie,Ali & Alia,United Arab Emirates,2019,2020-05-12 00:00:00,Hussein El Ansary,"Khalifa Albhri, Neven Madi, Talal Mahmood, Sawsan Saad, Fatma Hassan",TV-14,"Dramas, International Movies, Romantic Movies",Drugs and addiction endanger the love — and lives — of two childhood sweethearts struggling to survive the perils of a precarious world.,106 min,1 hr 46 min
2542,s2543,TV Show,True: Terrific Tales,Canada,2020,2020-05-12 00:00:00,,"Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux, Derek McGrath",TV-Y,Kids' TV,"Through the magic of the Story Spinner, True and her friends create their own versions of Pinocchio, Little Red Riding Hood and other classic tales.",1 Season,1 Season
2543,s2544,Movie,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,United States,2020,2020-05-12 00:00:00,Claire Scanlon,"Ellie Kemper, Jane Krakowski, Tituss Burgess, Carol Kane, Jon Hamm, Daniel Radcliffe, Lauren Adams, Sara Chase, Sol Miranda, Amy Sedaris, Mike Carlsen, Dylan Gelula, Chris Parnell, Heidi Gardner, Jack McBrayer, Zak Orth, Fred Armisen, Johnny Knoxville",TV-14,Comedies,"It's an interactive Kimmy special! Kimmy's getting married, but first she has to foil the Reverend's evil plot. It's your move: What should she do next?",190 min,3 hr 10 min
2544,s2545,Movie,Action Replayy,India,2010,2020-05-11 00:00:00,Vipul Amrutlal Shah,"Akshay Kumar, Aishwarya Rai Bachchan, Om Puri, Kiron Kher, Neha Dhupia, Rannvijay Singh, Aditya Roy Kapur, Sudeepa Singh, Randhir Kapoor, Rajpal Yadav",TV-PG,"Children & Family Movies, Comedies, International Movies","Sick of his parents’ constant squabbling, a young man travels back in time to the onset of their romance, with plans to set them up for marital bliss.",129 min,2 hr 9 min
2545,s2546,Movie,Andaz Apna Apna,India,1994,2020-05-11 00:00:00,Rajkumar Santoshi,"Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor, Paresh Rawal, Mehmood, Deven Verma, Jagdeep, Shakti Kapoor",TV-14,"Action & Adventure, Comedies, Cult Movies","Broke and with no concrete plans for the future, two young men discover that a stunning heiress lives nearby and try to charm her into marriage.",160 min,2 hr 40 min
2546,s2547,TV Show,Bordertown,"Finland, France",2019,2020-05-11 00:00:00,,"Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo, Lenita Susi, Kristiina Halttu, Olivia Ainali, Ilkka Villi, Max Bremer, Matti Laine, Jasmin Hamid",TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",A gifted detective takes a job in a small town so he can spend more time with his family. But he's soon drawn into a web of disturbing murder cases.,3 Seasons,3 Seasons
2547,s2548,Movie,Have a Good Trip: Adventures in Psychedelics,United States,2020,2020-05-11 00:00:00,Donick Cary,"Nick Offerman, Adam Scott",TV-MA,Documentaries,"Explore hallucinogenic highs and lows as celebrities share funny, mind-blowing tales via animations, reenactments and more in this documentary.",86 min,1 hr 26 min
2548,s2549,TV Show,Trial By Media,United States,2020,2020-05-11 00:00:00,,,TV-MA,"Crime TV Shows, Docuseries","In this true crime docuseries, some of the most dramatic trials of all time are examined with an emphasis on how the media may have impacted verdicts.",1 Season,1 Season
2549,s2550,Movie,John Henry,United States,2020,2020-05-09 00:00:00,Will Forbes,"Terry Crews, Ludacris, Jamila Velazquez, J.J. Soria, Ken Foree, Daffany Clark, Kimberly Hébert-Gregory, Tyler Alvarez",R,"Dramas, Thrillers",A reformed LA gang member upends his peaceful new life when he steps in to protect two young immigrants from his violent former leader.,92 min,1 hr 32 min
2550,s2551,Movie,18 Presents,Italy,2020,2020-05-08 00:00:00,Francesco Amato,"Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro, Marco Messeri, Betty Pedrazzi, Alessandro Giallocosta, Filippo Gili, Giacomo Rosselli",TV-MA,"Dramas, Independent Movies, International Movies",A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.,114 min,1 hr 54 min
2551,s2552,TV Show,Dead to Me,United States,2020,2020-05-08 00:00:00,,"Christina Applegate, Linda Cardellini, James Marsden, Max Jenkins, Sam McCarthy, Luke Roessler, Edward Asner",TV-MA,"TV Comedies, TV Dramas",A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.,2 Seasons,2 Seasons
2552,s2553,TV Show,Restaurants on the Edge,Canada,2020,2020-05-08 00:00:00,,"Nick Liberato, Karin Bohn, Dennis Prescott",TV-14,"International TV Shows, Reality TV",Three food and design experts travel the world to revive failing restaurants by connecting them to the local culture beyond their gorgeous views.,2 Seasons,2 Seasons
2553,s2554,TV Show,The Eddy,"United Kingdom, Germany, United States, France",2020,2020-05-08 00:00:00,"Damien Chazelle, Houda Benyamina, Laïla Marrakchi, Alan Poul","André Holland, Joanna Kulig, Amandla Stenberg, Leïla Bekhti, Tahar Rahim, Benjamin Biolay, Adil Dehbi, Melissa George, Lada Obradovic, Tchéky Karyo, Randy Kerber, Elyes Aguis, Damian Nueva Cortes",TV-MA,"International TV Shows, TV Dramas","The owner of a Paris jazz club gets tangled up with dangerous criminals as he fights to protect his business, his band and his teenage daughter.",1 Season,1 Season
2554,s2555,TV Show,The Hollow,Canada,2020,2020-05-08 00:00:00,,"Adrian Petriw, Ashleigh Ball, Connor Parnall, Mark Hildreth, Alex Barima, Jesse Moss, Diana Kaarina, Brian Dobson",TV-Y7,"Kids' TV, TV Thrillers","Three teens join forces to find a way home after waking up in a strange realm filled with magic portals, perplexing puzzles and vicious beasts.",2 Seasons,2 Seasons
2555,s2556,Movie,Aerials,United Arab Emirates,2016,2020-05-07 00:00:00,S.A. Zaidi,"Saga Alyasery, Ana Druzhynina, Mansour Al Felei, Mohammad Abu Diak, Pascale Matar, Luke Coutts, Abeer Mohammed",TV-14,"International Movies, Sci-Fi & Fantasy",Dubai residents struggle to figure out why a fleet of alien spaceships are hovering over their city when all contact with the outside world is cut off.,90 min,1 hr 30 min
2556,s2557,Movie,In Paradox,Kuwait,2019,2020-05-07 00:00:00,Hamad AlSarraf,"Faisal Al Omairi, Jafra Younes, Samr Ismaiel, Ghanim Alzerlli, Jaber Jokhadar, Nawar Youssef, Jassim Al Nabhan, Fayez Kazak, Nancy Khoury, Jamal Hamdan",TV-14,"International Movies, Sci-Fi & Fantasy, Thrillers","On the run from assailants, a man desperately seeks to take control of his strange memories before they consume his life — and sanity.",94 min,1 hr 34 min
2557,s2558,TV Show,Scissor Seven,China,2020,2020-05-07 00:00:00,He Xiaofeng,"He Xiaofeng, Jiang Guangtao, Duan Yixuan, Zhu Rongrong, Wen Sen, Jiang Huiqin, Ban Ma, Ronny Chieng, Shinji Saito, Daniel Sosa",TV-MA,"International TV Shows, TV Action & Adventure, TV Comedies","Seeking to recover his memory, a scissor-wielding, hairdressing, bungling quasi-assassin stumbles into a struggle for power among feuding factions.",2 Seasons,2 Seasons
2558,s2559,Movie,Si Doel the Movie,Indonesia,2018,2020-05-07 00:00:00,Rano Karno,"Rano Karno, Mandra Naih, Cornelia Agatha, Maudy Koesnaedi, Aminah Tjendrakasih, Suty Karno, Salman Alfarizi, Adam Jagwani",TV-PG,"Dramas, International Movies","Fourteen years after the woman he loved left him, a married man ventures to Amsterdam to find her but must decide where his heart lies.",86 min,1 hr 26 min
2559,s2560,Movie,Becoming,United States,2020,2020-05-06 00:00:00,Nadia Hallgren,Michelle Obama,PG,Documentaries,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others as she tours with ""Becoming.""",89 min,1 hr 29 min
2560,s2561,Movie,"Sí, Mi Amor",,2020,2020-05-06 00:00:00,Pedro Flores Maldonado,"Yiddá Eslava, Julián Zucchi, Andrés Salas, Magdyel Ugaz, Pietro Sibille, Saskia Bernaola, Sebastián Monteghirfo, Mayra Olivera",TV-MA,"Comedies, International Movies, Romantic Movies",A blindsided boyfriend must prove his fidelity when his girlfriend spontaneously dumps him after suspecting him of cheating.,107 min,1 hr 47 min
2561,s2562,Movie,Jerry Seinfeld: 23 Hours To Kill,United States,2020,2020-05-05 00:00:00,Joe DeMaio,Jerry Seinfeld,TV-PG,Stand-Up Comedy,"Jerry Seinfeld takes the stage in New York and tackles talking vs. texting, bad buffets vs. so-called ""great"" restaurants and the magic of Pop Tarts.",61 min,1 hr 1 min
2562,s2563,Movie,Arctic Dogs,"India, United Kingdom, China, Canada, Japan, South Korea, United States",2019,2020-05-04 00:00:00,Aaron Woodley,"Jeremy Renner, Heidi Klum, James Franco, John Cleese, Omar Sy, Michael Madsen, Laurie Holden, Anjelica Huston, Alec Baldwin, Donny Falsetti",PG,"Children & Family Movies, Comedies","When he stumbles upon evil Otto Von Walrus's scheme to melt the Arctic, ambitious delivery fox Swifty assembles a ragtag crew to protect the planet.",93 min,1 hr 33 min
2563,s2564,Movie,Luccas Neto em: Acampamento de Férias 2,Brazil,2020,2020-05-04 00:00:00,Lucas Margutti,"Luccas Neto, Giovanna Alparone, Jéssica Diehl, Vivian Duarte",TV-G,"Children & Family Movies, Comedies, Music & Musicals","Luccas and his band of buddies make music and mischief at a new summer camp, where they face off with talented rivals and their tough coach.",81 min,1 hr 21 min
2564,s2565,Movie,One Day: Justice Delivered,India,2019,2020-05-03 00:00:00,Ashok Nanda,"Anupam Kher, Esha Gupta, Kumud Mishra, Kashyap Bharbhaya, Anusmiritu Sarkar, Zakir Hussain, Rajesh Sharma, Murli Sharma, Ananth Narayan Mahadevan, Deepshikha",TV-14,"Dramas, International Movies","A former judge in retirement finds and punishes the culprits he could not convict in court, spurring a crime branch officer to investigate.",120 min,2 hr 0 min
2565,s2566,TV Show,Almost Happy,Argentina,2020,2020-05-02 00:00:00,Hernán Guerschuny,"Sebastián Wainraich, Natalie Pérez, Santiago Korovsky",TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies","Sebastián is a radio show host of modest fame, trying to find a way in the world as he deals with his ex-wife (whom he still loves) and two kids.",1 Season,1 Season
2566,s2567,Movie,Bennett's War,United States,2019,2020-05-02 00:00:00,Alex Ranarivelo,"Michael Roark, Trace Adkins, Ali Afshar, Allison Paige, Tony Panterra, Brando Eaton, Hunter Clowdus, Michael King",PG-13,"Dramas, Sports Movies",A medically discharged soldier attempts an improbable return to motorcycle racing to win enough prize money to save his father's farm.,94 min,1 hr 34 min
2567,s2568,Movie,Death Can Wait,Colombia,2020,2020-05-02 00:00:00,Fernando Ayllón,"Ricardo Quevedo, Nelson Polanía, Liss Pereira, Brian Moreno, Ana Cristina Botero, Jairo Ordóñez, Luis Alberto Saavedra, Blanca Ligia Franco, Marianne Schaller Romero, Shirley Marulanda",TV-14,"Comedies, International Movies","After learning he may die soon, a modest accountant pulls off a shady money scheme and heads to Europe, where he's faced with a life-or-death situation.",91 min,1 hr 31 min
2568,s2569,TV Show,Hangar 1: The UFO Files,,2015,2020-05-02 00:00:00,,,TV-PG,Docuseries,Researchers add context and clarity to UFO mysteries and conspiracy theories as they unpack clues in a trove of files covering decades of sightings.,1 Season,1 Season
2569,s2570,TV Show,Hoarders,,2020,2020-05-02 00:00:00,,,TV-PG,Reality TV,"This reality series enters the worlds of compulsive hoarders, whose addiction to acquisition overwhelms not just their homes but also their lives.",1 Season,1 Season
2570,s2571,Movie,Lady Driver,United States,2019,2020-05-02 00:00:00,Shaun Paul Piccinino,"Grace Van Dien, Sean Patrick Flanery, Christina Moore, Casper Van Dien, Amanda Detmer, John Ducey, Matthew Joel Kranyak, David Gridley",PG,"Dramas, Sports Movies","When a rebellious teen searches for her unknown roots, it leads her to the sport of dirt track racing and a discovery she didn't expect.",104 min,1 hr 44 min
2571,s2572,Movie,Mike Birbiglia: My Girlfriend's Boyfriend,United States,2013,2020-05-02 00:00:00,Seth Barrish,Mike Birbiglia,TV-14,Stand-Up Comedy,"On this painfully honest but hilarious journey, Birbiglia struggles to find reason in an area where it may be impossible to find: love.",76 min,1 hr 16 min
2572,s2573,Movie,Roped,United States,2020,2020-05-02 00:00:00,Shaun Paul Piccinino,"Josh Swickard, Casper Van Dien, Lorynn York, Christina Moore, John Schneider, Michael Roark, Shane Graham, Cooper Lundeen, Javicia Leslie, Spencer Neville",PG,"Children & Family Movies, Dramas, Romantic Movies",A star cowboy in a traveling rodeo gets thrown off course when he falls in love with the daughter of a tough-minded town councilman.,90 min,1 hr 30 min
2573,s2574,Movie,The Stand at Paxton County,United States,2020,2020-05-02 00:00:00,Brett Hedlund,"Jacqueline Toboni, Michael O'Neill, Tyler Jacob Moore, Christopher McDonald, Sean O'Bryan, Blake Sheldon, Zoe Kanters, Greg Perrow, Tanner Thomason",R,"Dramas, Independent Movies, Thrillers",A military veteran comes home to find her father harassed by a sheriff intent on confiscating the livestock on their ranch under shady pretenses.,103 min,1 hr 43 min
2574,s2575,TV Show,The Universe: Ancient Mysteries Solved,,2015,2020-05-02 00:00:00,,Erik Thompson,TV-PG,"Docuseries, Science & Nature TV","From astronomical events to shapes and patterns in space, strange and wonderful phenomena are explored with modern science in this series.",1 Season,1 Season
2575,s2576,TV Show,WWII in HD,United States,2009,2020-05-02 00:00:00,,"Gary Sinise, Rob Lowe, Josh Lucas, Justin Bartha, Amy Smart, LL Cool J, Steve Zahn, Jason Ritter, Ron Livingston, Tim DeKay, Mark Hefti, James Kyson, Rob Corddry",TV-14,Docuseries,Rare color footage interwoven with firsthand interviews and diary entries bring to life the global sweep of World War II via those who were there.,1 Season,1 Season
2576,s2577,Movie,All Day and a Night,United States,2020,2020-05-01 00:00:00,Joe Robert Cole,"Jeffrey Wright, Ashton Sanders, Regina Taylor, Yahya Abdul-Mateen II, Isaiah John, Kelly Jenrette, Shakira Ja-nai Paye",R,"Dramas, Independent Movies","While serving life in prison, a young man looks back at the people, the circumstances and the system that set him on the path toward his crime.",122 min,2 hr 2 min
2577,s2578,Movie,Cracked Up: The Darrell Hammond Story,United States,2018,2020-05-01 00:00:00,Michelle Esrick,Darrell Hammond,TV-MA,Documentaries,"""Saturday Night Live"" star Darrell Hammond reveals the extreme abuse he suffered during childhood, a trauma that nearly destroyed his life as an adult.",97 min,1 hr 37 min
2578,s2579,Movie,Get In,"France, Belgium",2019,2020-05-01 00:00:00,Olivier Abbou,"Adama Niane, Stéphane Caillard, Paul Hamy, Eddy Leduc, Hubert Delattre, Matthieu Kacou, Charlotte Geiger, Christopher Fataki",TV-MA,"International Movies, Thrillers","When he returns from vacation and finds his home occupied by squatters, a family man is caught in a conflict that escalates to terrifying heights.",98 min,1 hr 38 min
2579,s2580,Movie,Go! Go! Cory Carson: The Chrissy,United States,2020,2020-05-01 00:00:00,"Alex Woo, Stanley Moore","Alan C. Lim, Maisie Benson, Kerry Gudjohnsen, Terrance Smith, Paul Killam, Omari Weaver, Ella Joy Ballesteros, Smith Foreman, Stanley Moore",TV-Y,Children & Family Movies,"The Carson kids win a talent show with a dance that Cory created. But when ""The Chrissy"" catches on, his little sister gets all of the attention.",42 min,0 hr 42 min
2580,s2581,TV Show,Hollywood,United States,2020,2020-05-01 00:00:00,,"David Corenswet, Darren Criss, Patti LuPone, Jeremy Pope, Jim Parsons, Laura Harrier, Joe Mantello, Dylan McDermott, Jake Picking, Holland Taylor, Samara Weaving",TV-MA,TV Dramas,"In post-World War II Hollywood, an ambitious group of aspiring actors and filmmakers will do almost anything to make their showbiz dreams come true.",1 Season,1 Season
2581,s2582,Movie,I Am Divine,United States,2013,2020-05-01 00:00:00,Jeffrey Schwarz,,TV-MA,"Documentaries, LGBTQ Movies",This captivating documentary explores the life and work of filmmaker John Waters's muse: internationally celebrated drag superstar Divine.,90 min,1 hr 30 min
2582,s2583,Movie,Madagascar: Escape 2 Africa,United States,2008,2020-05-01 00:00:00,"Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen, Cedric the Entertainer, Andy Richter, Bernie Mac, Alec Baldwin, Sherri Shepherd",PG,"Children & Family Movies, Comedies","A botched rescue strands Alex the lion and his companions in Africa. Sadly, Alex discovers he has little in common with the locals.",91 min,1 hr 31 min
2583,s2584,TV Show,Masha and the Bear,Russia,2019,2020-05-01 00:00:00,,"Alina Kukushkina, Boris Kutnevich, Giselle Nieto, Elsie Fisher",TV-Y,Kids' TV,"Lively little Masha lives near the forest, where she has many wonderful adventures with her best friend, a bear who used to be in the circus.",4 Seasons,4 Seasons
2584,s2585,Movie,Material,South Africa,2012,2020-05-01 00:00:00,Craig Freimond,"Vincent Ebrahim, Riaad Moosa, Joey Rasdien, Denise Newman, Krijay Govender, Nik Rabinowitz, Zakeeya Patel, Carishma Basday, Royston Stoffels, Mel Miller",TV-14,"Comedies, Dramas, International Movies","A dutiful son must hide his pursuit of stand-up comedy from his staunch father, who expects him to inherit his store and uphold their Muslim beliefs.",94 min,1 hr 34 min
2585,s2586,TV Show,Medici: Masters of Florence,"Italy, United Kingdom, France",2019,2020-05-01 00:00:00,,"Richard Madden, Dustin Hoffman, Stuart Martin, Annabel Scholey",TV-MA,"International TV Shows, TV Dramas","After his father's murder, banking heir Cosimo Medici battles opponents of his artistic, economic and political visions for 15th-century Florence.",3 Seasons,3 Seasons
2586,s2587,TV Show,Monthly Girls' Nozaki Kun,Japan,2014,2020-05-01 00:00:00,,"Yuichi Nakamura, Ari Ozawa, Nobuhiko Okamoto, Yuki Ono, Ryohei Kimura, Mai Nakahara, Miyuki Sawashiro, Mamoru Miyano, Marie Miyake, Ayako Kawasumi, Kenta Miyake, Daisuke Ono",TV-PG,"Anime Series, Romantic TV Shows",Art imitates life when Chiyo discovers her crush is a famous artist who wants to use their budding relationship as inspiration for his romantic manga.,1 Season,1 Season
2587,s2588,Movie,Mrs. Serial Killer,India,2020,2020-05-01 00:00:00,Shirish Kunder,"Jacqueline Fernandez, Manoj Bajpayee, Mohit Raina, Zayn Marie Khan",TV-MA,"International Movies, Thrillers","When a doctor gets jailed for a string of shocking murders, his loyal wife sets out to commit a copycat crime to prove his innocence.",107 min,1 hr 47 min
2588,s2589,TV Show,Oh Yuck,Canada,2020,2020-05-01 00:00:00,,"Kayne Tremills, Nia Roam, David Collins, Shane Dundas",TV-G,"Kids' TV, TV Comedies","Using a concoction of cartoons, comedy and live action, Dr. Yuck and his eccentric lab mates investigate the science behind the planet's ickiest things.",1 Season,1 Season
2589,s2590,Movie,Psycho,India,2020,2020-05-01 00:00:00,Mysskin,"Udhayanidhi Stalin, Aditi Rao Hydari, Nithya Menon, Ram, Rajkumar Pitchumani",TV-MA,"Horror Movies, International Movies, Thrillers","As a visually impaired man attempts to rescue his love interest from a serial killer, the dark story behind the murderer’s disturbing psyche emerges.",143 min,2 hr 23 min
2590,s2591,TV Show,Reckoning,"Australia, United States",2019,2020-05-01 00:00:00,,"Aden Young, Sam Trammell, Simone Kessell, Laura Gordon, Gloria Garayua, Mitzi Ruhlmann, Milly Alcock, Ed Oxenbould, Finn Little, Anthony Phelan, Diana Glenn, Lauren Pegus",TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries","When a local teen is murdered in their quiet, suburban community, two fathers intent on protecting their families must contend with their inner demons.",1 Season,1 Season
2591,s2592,Movie,The Half Of It,United States,2020,2020-05-01 00:00:00,Alice Wu,"Leah Lewis, Daniel Diemer, Alexxis Lemire, Wolfgang Novogratz, Collin Chou, Becky Ann Baker, Enrique Murciano, Macintyre Dixon, Catherine Curtin",PG-13,"Comedies, Dramas, LGBTQ Movies","When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend — or fall for his crush.",105 min,1 hr 45 min
